LAYER,NAME,LAT,LON
Brown Booby,A1,-23.85726452,152.3728023
Brown Booby,A2,-23.85723969,152.3730017
Brown Booby,A3,-23.85723428,152.3730793
Brown Booby,A4,-23.85722677,152.3730636
Brown Booby,A5,-23.85718714,152.373036
Brown Booby,A6,-23.85718124,152.3730354
Brown Booby,A7,-23.85717941,152.3731062
Brown Booby,A8,-23.85720499,152.3731506
Brown Booby,A9,-23.85725869,152.3731615
Brown Booby,A10,-23.85725556,152.3731343
Brown Booby,A11,-23.85720087,152.3732049
Brown Booby,A12,-23.85721301,152.3731819
Brown Booby,A13,-23.85726452,152.373279
Brown Booby,A14,-23.85726854,152.3732991
Brown Booby,A15,-23.85722719,152.3733052
Brown Booby,A16,-23.85722007,152.3733285
Brown Booby,A17,-23.85721811,152.3733338
Brown Booby,A18,-23.85724428,152.3733189
Brown Booby,A19,-23.85726696,152.373326
Brown Booby,A20,-23.85721356,152.373496
Brown Booby,A21,-23.85723926,152.3734915
Brown Booby,A22,-23.85728016,152.3734995
Brown Booby,A23,-23.85719006,152.3735363
Brown Booby,A24,-23.85727279,152.3736104
Brown Booby,A25,-23.8572648,152.3736292
Brown Booby,A26,-23.85722065,152.3735756
Brown Booby,A27,-23.85719502,152.3735983
Brown Booby,A28,-23.85718017,152.3736591
Brown Booby,A29,-23.85710731,152.3737133
Brown Booby,A30,-23.85708269,152.3736675
Brown Booby,A31,-23.85708036,152.3736659
Brown Booby,A32,-23.85713691,152.3735737
Brown Booby,A33,-23.85708664,152.3735903
Brown Booby,A34,-23.85711537,152.3736059
Brown Booby,A35,-23.85706478,152.3735289
Brown Booby,A36,-23.85704023,152.3735051
Brown Booby,A37,-23.85707395,152.3735122
Brown Booby,A38,-23.85707483,152.3735129
Brown Booby,A39,-23.85711464,152.373507
Brown Booby,A40,-23.85713523,152.3735531
Brown Booby,A41,-23.85713302,152.3735531
Brown Booby,A42,-23.85709881,152.3734389
Brown Booby,A43,-23.85715452,152.373404
Brown Booby,A44,-23.85704794,152.3733406
Brown Booby,A45,-23.85715496,152.3732797
Brown Booby,A46,-23.85713624,152.3732792
Brown Booby,A47,-23.85714809,152.3732498
Brown Booby,A48,-23.85711979,152.3732458
Brown Booby,A49,-23.85705738,152.3732957
Brown Booby,A50,-23.85714188,152.3731557
Brown Booby,A51,-23.8571144,152.3731302
Brown Booby,A52,-23.85714316,152.3730758
Brown Booby,A53,-23.85706163,152.372993
Brown Booby,A54,-23.85715265,152.3729193
Anous,B1,-23.85711978,152.3725155
Anous,B2,-23.85711133,152.3725016
Anous,B3,-23.85711746,152.3724933
Anous,B4,-23.85710412,152.3724883
Anous,B5,-23.85711984,152.3724698
Anous,B6,-23.85711553,152.3724792
Anous,B7,-23.85710361,152.3724812
Brown Booby,A55,-23.8569632,152.3726882
Brown Booby,A56,-23.85695468,152.372796
Brown Booby,A57,-23.8570302,152.3728695
Brown Booby,A58,-23.85702441,152.3729772
Brown Booby,A59,-23.85701018,152.3730291
Brown Booby,A60,-23.85701085,152.3730365
Brown Booby,A61,-23.85692693,152.3730652
Brown Booby,A62,-23.85701321,152.3731306
Brown Booby,A63,-23.85694122,152.3732012
Brown Booby,A64,-23.85696329,152.3732489
Brown Booby,A65,-23.85702683,152.373282
Brown Booby,A66,-23.85699358,152.37328
Brown Booby,A67,-23.85697222,152.3732997
Brown Booby,A68,-23.85693898,152.3732869
Brown Booby,A69,-23.85698366,152.3733486
Brown Booby,A70,-23.85699955,152.3733528
Brown Booby,A71,-23.85701419,152.3733606
Brown Booby,A72,-23.857018,152.3733051
Brown Booby,A73,-23.85701756,152.3733986
Brown Booby,A74,-23.85701903,152.3733994
Brown Booby,A75,-23.85699604,152.3734332
Brown Booby,A76,-23.85699298,152.3734169
Brown Booby,A77,-23.85698209,152.3733897
Brown Booby,A78,-23.85695815,152.3733948
Brown Booby,A79,-23.85694688,152.3734309
Brown Booby,A80,-23.85692368,152.3734742
Brown Booby,A81,-23.85691507,152.3734681
Brown Booby,A82,-23.85694067,152.3734952
Brown Booby,A83,-23.85694009,152.3734888
Brown Booby,A84,-23.85696237,152.3734827
Brown Booby,A85,-23.85696645,152.3734705
Brown Booby,A86,-23.85701569,152.3735136
Brown Booby,A87,-23.8570376,152.3734515
Brown Booby,A88,-23.85703488,152.3734557
Brown Booby,A89,-23.85702254,152.3735423
Brown Booby,A90,-23.85703214,152.3735617
Brown Booby,A91,-23.85699169,152.3735339
Brown Booby,A92,-23.85698964,152.3735493
Brown Booby,A93,-23.85691963,152.3735906
Brown Booby,A94,-23.85692346,152.3736397
Brown Booby,A95,-23.85699895,152.3735808
Brown Booby,A96,-23.8570315,152.3736076
Brown Booby,A97,-23.85702968,152.3736814
Brown Booby,A98,-23.85700822,152.3736523
Brown Booby,A99,-23.85694122,152.373692
Brown Booby,A100,-23.85698742,152.3737578
Brown Booby,A101,-23.85701976,152.3738382
Brown Booby,A102,-23.85697341,152.3738146
Brown Booby,A103,-23.85693658,152.3738107
Brown Booby,A104,-23.85693124,152.3738351
Onychoprion,D1,-23.85690663,152.3742291
Brown Booby,A105,-23.85681748,152.3740464
Brown Booby,A106,-23.85682625,152.3739999
Brown Booby,A107,-23.85688935,152.3738914
Brown Booby,A108,-23.85687564,152.3738971
Brown Booby,A109,-23.85686877,152.3739022
Brown Booby,A110,-23.85681949,152.3737456
Brown Booby,A111,-23.8569027,152.3735597
Brown Booby,A112,-23.85689882,152.3735066
Brown Booby,A113,-23.85688443,152.3735246
Brown Booby,A114,-23.85688666,152.3735254
Brown Booby,A115,-23.85685229,152.3734994
Brown Booby,A116,-23.8568349,152.3735102
Brown Booby,A117,-23.85680459,152.3734918
Brown Booby,A118,-23.85682423,152.3734739
Brown Booby,A119,-23.8568748,152.3734567
Brown Booby,A120,-23.85690591,152.3733922
Brown Booby,A121,-23.85683601,152.373428
Brown Booby,A122,-23.85690081,152.3733519
Brown Booby,A123,-23.85689379,152.3733302
Anous,B8,-23.85689978,152.3730559
Anous,B9,-23.85684331,152.3730366
Brown Booby,A124,-23.8568991,152.372774
Brown Booby,A125,-23.8568962,152.3727712
Brown Booby,A126,-23.8568037,152.3727836
Onychoprion,D2,-23.85681316,152.372771
Anous,B10,-23.85681088,152.3727657
Brown Booby,A127,-23.8568211,152.3727192
Brown Booby,A128,-23.85684311,152.3727365
Brown Booby,A129,-23.85690782,152.3727274
Anous,B11,-23.85668331,152.3726643
Brown Booby,A130,-23.85668878,152.3732111
Brown Booby,A131,-23.85671985,152.3732981
Brown Booby,A132,-23.85672541,152.3733058
Brown Booby,A133,-23.8567897,152.3734167
Brown Booby,A134,-23.85675838,152.3734032
Brown Booby,A135,-23.85667326,152.3734633
Brown Booby,A136,-23.85675425,152.3734894
Brown Booby,A137,-23.85669,152.3736443
Brown Booby,A138,-23.8566985,152.3736602
Brown Booby,A139,-23.85674146,152.3737082
Brown Booby,A140,-23.85678433,152.3738784
Brown Booby,A141,-23.85674584,152.3740414
Brown Booby,A142,-23.85675284,152.3740814
Brown Booby,A143,-23.8566932,152.3741575
Brown Booby,A144,-23.85677944,152.3741758
Brown Booby,A145,-23.8567243,152.3742317
Brown Booby,A146,-23.85665014,152.3739501
Brown Booby,A147,-23.85661468,152.3739693
Brown Booby,A148,-23.85655031,152.373861
Brown Booby,A149,-23.85658514,152.3739057
Brown Booby,A150,-23.85658276,152.3739031
Brown Booby,A151,-23.85656625,152.3737747
Brown Booby,A152,-23.85659332,152.3737524
Brown Booby,A153,-23.85665397,152.3737221
Brown Booby,A154,-23.85661596,152.3736325
Brown Booby,A155,-23.8566121,152.3736801
Brown Booby,A156,-23.85661492,152.3736802
Brown Booby,A157,-23.85661099,152.3736378
Brown Booby,A158,-23.85660851,152.3736355
Brown Booby,A159,-23.85655905,152.3736193
Brown Booby,A160,-23.85658416,152.3736126
Brown Booby,A161,-23.85661368,152.3735989
Brown Booby,A162,-23.85654997,152.3735557
Brown Booby,A163,-23.85662514,152.3735631
Brown Booby,A164,-23.85664403,152.3734912
Brown Booby,A165,-23.85664057,152.3734358
Brown Booby,A166,-23.85660352,152.3734425
Brown Booby,A167,-23.85655986,152.3734517
Brown Booby,A168,-23.8565624,152.3734505
