OID_,LAYER,NAME,LAT,LON
0,Brown Booby (A),A77,-23.852790646900001,152.379724169000013
1,Brown Booby (A),A78,-23.852811877699999,152.379723952999996
2,Brown Booby (A),A79,-23.852827680499999,152.379705830000006
3,Brown Booby (A),A80,-23.852837600000001,152.379696230000008
4,Brown Booby (A),A81,-23.852820777900000,152.379638336999989
5,Brown Booby (A),A82,-23.852771165800000,152.379700493000001
6,Brown Booby (A),A83,-23.852824920100002,152.379677017999995
7,Brown Booby (A),A84,-23.852821313300002,152.379677385000008
8,Brown Booby (A),A85,-23.852756958899999,152.379622638999990
9,Brown Booby (A),A86,-23.852766787800000,152.379628760000003
10,Brown Booby (A),A87,-23.852769510500000,152.379623084999992
11,Brown Booby (A),A88,-23.852792540799999,152.379609216000006
12,Brown Booby (A),A89,-23.852789649599998,152.379586668000002
13,Brown Booby (A),A90,-23.852817057599999,152.379506056999986
14,Brown Booby (A),A91,-23.852843572600001,152.379479628000013
15,Brown Booby (A),A92,-23.852796619999999,152.379489686999989
16,Brown Booby (A),A93,-23.852805605000000,152.379489035999995
17,Brown Booby (A),A94,-23.852833643499999,152.379450273999993
18,Brown Booby (A),A95,-23.852831268199999,152.379464675000008
19,Onchoprion Sp. (D),D2,-23.852846065600001,152.379148925000010
20,Brown Booby (A),A96,-23.852720063900001,152.379986763000005
21,Brown Booby (A),A97,-23.852725398800001,152.380029119999989
22,Brown Booby (A),A98,-23.852703733500000,152.380019223000005
23,Brown Booby (A),A99,-23.852718356699999,152.379973618000008
24,Brown Booby (A),A100,-23.852651490900001,152.379957186000013
25,Brown Booby (A),A101,-23.852648284200001,152.379983170999992
26,Brown Booby (A),A102,-23.852654055700000,152.379975951000006
27,Brown Booby (A),A103,-23.852653427600000,152.379983457000009
28,Brown Booby (A),A104,-23.852653188700000,152.379995739000009
29,Brown Booby (A),A105,-23.852659570899998,152.379985535000003
30,Brown Booby (A),A106,-23.852647888600000,152.380012851000004
31,Brown Booby (A),A107,-23.852651873999999,152.380003203000001
32,Brown Booby (A),A108,-23.852654649400002,152.380012150999988
33,Brown Booby (A),A109,-23.852659865400000,152.380021011999986
34,Brown Booby (A),A110,-23.852659947300001,152.380026574999988
35,Brown Booby (A),A111,-23.852665071600001,152.380010867000010
36,Brown Booby (A),A112,-23.852665311399999,152.379981554000011
37,Brown Booby (A),A113,-23.852689288899999,152.380020776000009
38,Brown Booby (A),A114,-23.852677632500001,152.380014407000004
39,Brown Booby (A),A115,-23.852683717300000,152.380012189000013
40,Brown Booby (A),A116,-23.852665147600000,152.380039688000011
41,Brown Booby (A),A117,-23.852662732900001,152.380045335999995
42,Brown Booby (A),A118,-23.852660509300001,152.380040670000000
43,Brown Booby (A),A119,-23.852834212800001,152.380097309999996
44,Brown Booby (A),A120,-23.852848869599999,152.380117202999998
45,Onchoprion Sp. (D),D3,-23.852808202599999,152.380151463999994
46,Brown Booby (A),A121,-23.852805678900001,152.380046754999995
47,Brown Booby (A),A122,-23.852816685299999,152.380007546000002
48,Brown Booby (A),A123,-23.852810433100000,152.379957555000004
49,Brown Booby (A),A124,-23.852812877900000,152.379958232999996
50,Brown Booby (A),A125,-23.852826205600000,152.379976207999988
51,Brown Booby (A),A126,-23.852806274999999,152.380010497999990
52,Brown Booby (A),A127,-23.852755654799999,152.380009881000007
53,Brown Booby (A),A128,-23.852754627100001,152.379975639000008
54,Brown Booby (A),A129,-23.852777198900000,152.379962315000000
55,Brown Booby (A),A130,-23.852785995300000,152.379925004999990
56,Brown Booby (A),A131,-23.852814757800001,152.379927506999991
57,Brown Booby (A),A132,-23.852842888400001,152.379948278999990
58,Brown Booby (A),A133,-23.852842148400001,152.379800444000011
59,Brown Booby (A),A134,-23.852827969400000,152.379790280000009
60,Brown Booby (A),A135,-23.852794520700002,152.379863825999990
61,Brown Booby (A),A136,-23.852804342500001,152.379828916000008
62,Brown Booby (A),A137,-23.852959620099998,152.380296952999998
63,Brown Booby (A),A138,-23.852958452300001,152.380209546000003
64,Brown Booby (A),A139,-23.852923914500000,152.380212677000003
65,Brown Booby (A),A140,-23.852894231000001,152.380233355000001
66,Brown Booby (A),A141,-23.852890298700000,152.380216890000014
67,Brown Booby (A),A142,-23.852904130100001,152.380203204999987
68,Brown Booby (A),A143,-23.852867909099999,152.380174677000014
69,Brown Booby (A),A144,-23.852914082200002,152.380248367999997
70,Brown Booby (A),A145,-23.852921191000000,152.380043534000009
71,Brown Booby (A),A146,-23.852855744500001,152.380057614999998
72,Brown Booby (A),A147,-23.852943923700000,152.380115735000004
73,Brown Booby (A),A148,-23.852954118200000,152.380104383999992
74,Brown Booby (A),A149,-23.852945136999999,152.380046434999997
75,Brown Booby (A),A150,-23.852952490400000,152.380077519999986
76,Brown Booby (A),A151,-23.852952332400001,152.380128273999986
77,Brown Booby (A),A152,-23.852952302399999,152.380125423000010
78,Brown Booby (A),A153,-23.852862392799999,152.380017013000014
79,Brown Booby (A),A154,-23.852884809599999,152.380033720000000
80,Brown Booby (A),A155,-23.852882059399999,152.380016724000001
81,Brown Booby (A),A156,-23.852884052699999,152.380004581000009
82,Brown Booby (A),A157,-23.852881836200002,152.379981578000013
83,Brown Booby (A),A158,-23.852908321800001,152.380000185999990
84,Brown Booby (A),A159,-23.852872207000001,152.379972793999997
85,Brown Booby (A),A160,-23.852933257800000,152.379900604999989
86,Brown Booby (A),A161,-23.852918773399999,152.379924789999990
87,Brown Booby (A),A162,-23.852867102299999,152.379988051999987
88,Brown Booby (A),A163,-23.852893972200000,152.379955520000010
89,Brown Booby (A),A164,-23.852961774099999,152.379953021000006
90,Brown Booby (A),A165,-23.852954793199999,152.379998736999994
91,Brown Booby (A),A166,-23.852948569199999,152.380021394000011
92,Brown Booby (A),A167,-23.852958172499999,152.380032719000013
93,Brown Booby (A),A168,-23.852961413100001,152.380029992000004
94,Brown Booby (A),A169,-23.852939016400001,152.379990942000006
95,Brown Booby (A),A170,-23.852926744600001,152.379998089999987
96,Brown Booby (A),A171,-23.852913906200001,152.380009046999987
97,Brown Booby (A),A172,-23.852893903399998,152.380002302000008
98,Brown Booby (A),A173,-23.852916258200000,152.379954897999994
99,Brown Booby (A),A174,-23.852861186300000,152.379941481000003
100,Brown Booby (A),A175,-23.852928864399999,152.379948496999987
101,Brown Booby (A),A176,-23.852960937100001,152.379856332999992
