OID_,LAYER,NAME,LAT,LON
0,Greater Crested Tern,CT1,-24.112030901000001,152.717181844000010
1,Greater Crested Tern,CT2,-24.112028410499999,152.717184180999993
2,Greater Crested Tern,CT3,-24.112028104000000,152.717181133999986
3,Greater Crested Tern,CT4,-24.112027107799999,152.717187730000006
4,Greater Crested Tern,CT5,-24.112028257300000,152.717191194000009
5,Greater Crested Tern,CT6,-24.112029560000000,152.717177711000005
6,Greater Crested Tern,CT7,-24.112024808899999,152.717182761999993
7,Greater Crested Tern,CT8,-24.112027720899999,152.717195744000009
8,Greater Crested Tern,CT9,-24.112026188300000,152.717177711000005
9,Greater Crested Tern,CT10,-24.112024923900002,152.717190025000008
10,Greater Crested Tern,CT11,-24.112024579000000,152.717185433999987
11,Greater Crested Tern,CT12,-24.112017873999999,152.717182845999986
12,Greater Crested Tern,CT13,-24.112021130700001,152.717181677000013
13,Greater Crested Tern,CT14,-24.112021360600000,152.717186185000003
14,Greater Crested Tern,CT15,-24.112021973600001,152.717189816999991
15,Greater Crested Tern,CT16,-24.112018065499999,152.717186602999988
16,Greater Crested Tern,CT17,-24.112018678599998,152.717190525999996
17,Greater Crested Tern,CT18,-24.112020517700000,152.717193782000010
18,Greater Crested Tern,CT19,-24.112017720699999,152.717193365000014
19,Greater Crested Tern,CT20,-24.112023520699999,152.717192888999989
20,Greater Crested Tern,CT21,-24.112022827299999,152.717179816999987
21,Greater Crested Tern,CT22,-24.112019059000001,152.717196502000007
22,Greater Crested Tern,CT23,-24.112018245000002,152.717177518000000
23,Greater Crested Tern,CT24,-24.112020897899999,152.717177222999993
24,Greater Crested Tern,CT25,-24.112024033200001,152.717176072999990
25,Greater Crested Tern,CT26,-24.112027765899999,152.717174577000009
26,Greater Crested Tern,CT27,-24.112025820900001,152.717172303000012
27,Greater Crested Tern,CT28,-24.112029758399999,152.717163593999999
28,Greater Crested Tern,CT29,-24.112027267799998,152.717168788000009
29,Greater Crested Tern,CT30,-24.112022760999999,152.717172742000002
30,Greater Crested Tern,CT31,-24.112019416500001,152.717174163000010
31,Greater Crested Tern,CT32,-24.112019843399999,152.717170468000006
32,Greater Crested Tern,CT33,-24.112023496300001,152.717169020999989
33,Greater Crested Tern,CT34,-24.112025631100000,152.717164704999988
34,Greater Crested Tern,CT35,-24.112021622400000,152.717162276000010
35,Greater Crested Tern,CT36,-24.112020910799998,152.717165687000005
36,Greater Crested Tern,CT37,-24.112017969499998,152.717167289000002
37,Greater Crested Tern,CT38,-24.112018017000000,152.717162870000010
38,Greater Crested Tern,CT39,-24.112027315199999,152.717160156999995
39,Greater Crested Tern,CT40,-24.112016741700000,152.717150486999998
40,Greater Crested Tern,CT41,-24.112017382200001,152.717146015999987
41,Greater Crested Tern,CT42,-24.112018971400001,152.717141856000012
42,Greater Crested Tern,CT43,-24.112015331799999,152.717137229000002
43,Greater Crested Tern,CT44,-24.112014427399998,152.717147672999999
44,Greater Crested Tern,CT45,-24.112015482600000,152.717159726999995
45,Greater Crested Tern,CT46,-24.112013251699999,152.717158742000009
46,Greater Crested Tern,CT47,-24.112026362500000,152.717199498000014
47,Greater Crested Tern,CT48,-24.112023468400000,152.717197198999997
48,Greater Crested Tern,CT49,-24.112021810300000,152.717199826000012
49,Greater Crested Tern,CT50,-24.112023739700000,152.717202617999988
50,Greater Crested Tern,CT51,-24.112020242700002,152.717204884000012
51,Greater Crested Tern,CT52,-24.112017981699999,152.717200187999993
52,Greater Crested Tern,CT53,-24.112019247799999,152.717208529999994
53,Greater Crested Tern,CT54,-24.112017197899998,152.717203833000013
54,Greater Crested Tern,CT55,-24.112017288299999,152.717197362999997
55,Greater Crested Tern,CT56,-24.112017047100000,152.717206591999997
56,Greater Crested Tern,CT57,-24.112016836100000,152.717209515000008
57,Greater Crested Tern,CT58,-24.112016534599999,152.717213292999986
58,Greater Crested Tern,CT59,-24.112019111500000,152.717216116999992
59,Greater Crested Tern,CT60,-24.112019679799999,152.717219395999990
60,Greater Crested Tern,CT61,-24.112017995599999,152.717222445999994
61,Greater Crested Tern,CT62,-24.112016525000001,152.717218440000011
62,Greater Crested Tern,CT63,-24.112001750400001,152.717143241000002
63,Greater Crested Tern,CT64,-24.112003037699999,152.717145823000010
64,Greater Crested Tern,CT65,-24.112004822399999,152.717141424000005
65,Greater Crested Tern,CT66,-24.112005612299999,152.717144674999986
