"LAYER","NAME","LAT","LON"
"Brown Booby (A)","A1",-16.60658053,145.973702
"Brown Booby (A)","A2",-16.60646039,145.9739461
"Brown Booby (A)","A3",-16.60645987,145.9739425
"Brown Booby (A)","A4",-16.60646795,145.9739797
"Brown Booby (A)","A5",-16.60646548,145.9739786
"Brown Booby (A)","A6",-16.60647981,145.9739408
"Brown Booby (A)","A7",-16.60636636,145.9744538
"Brown Booby (A)","A8",-16.60633403,145.9744602
"Brown Booby (A)","A9",-16.60633541,145.9744605
"Brown Booby (A)","A10",-16.6064136,145.9747645
"Brown Booby (A)","A12",-16.60625185,145.9747462
"Brown Booby (A)","A13",-16.60625017,145.974756
"Brown Booby (A)","A14",-16.60625356,145.9747565
"Brown Booby (A)","A15",-16.606257,145.9747568
"Brown Booby (A)","A18",-16.60625343,145.9747747
"Brown Booby (A)","A17",-16.60627085,145.9747576
"Brown Booby (A)","A16",-16.60627355,145.9747639
"Brown Booby (A)","A19",-16.6065086,145.9738092
"Brown Booby (A)","A20",-16.60651822,145.9738294
"Brown Booby (A)","A21",-16.60651878,145.9738283
"Brown Booby (A)","A22",-16.60623984,145.974691
"Brown Booby (A)","A23",-16.6062417,145.9746951
"Brown Booby (A)","A24",-16.60624094,145.9746926
"Brown Booby (A)","A25",-16.60624542,145.974682
"Brown Booby (A)","A26",-16.60624266,145.9746832
"Brown Booby (A)","A27",-16.60624839,145.9746644
"Brown Booby (A)","A28",-16.60625027,145.9746642
"Brown Booby (A)","A29",-16.60626519,145.9746691
"Brown Booby (A)","A30",-16.60626723,145.9746866
"Brown Booby (A)","A31",-16.60628349,145.9746689
"Brown Booby (A)","A11",-16.60627923,145.9746723
"Brown Booby (A)","A32",-16.60654626,145.9737127
"Brown Booby (A)","A33",-16.6064793,145.9743898
"Brown Booby (A)","A34",-16.60619676,145.9749775
"Brown Booby (A)","A35",-16.6068011,145.9731355
"Brown Booby (A)","A36",-16.60668148,145.9734425
"Brown Booby (A)","A37",-16.60668047,145.9734435
"Brown Booby (A)","A38",-16.60667148,145.9734785
"Brown Booby (A)","A39",-16.60677914,145.9734443
"Brown Booby (A)","A40",-16.60678149,145.973444
