OID_,LAYER,NAME,LAT,LONG
1,Noddy Sp. (B),B1,-16.606107856600001,145.974528292999992
2,Noddy Sp. (B),B2,-16.606103773099999,145.974533188999999
3,Noddy Sp. (B),B3,-16.606104036400001,145.974534963999986
4,Noddy Sp. (B),B4,-16.606105221300002,145.974535510000010
5,Noddy Sp. (B),B5,-16.606102719799999,145.974539287999988
6,Noddy Sp. (B),B6,-16.606101139900002,145.974539561000000
7,Noddy Sp. (B),B7,-16.606105133500002,145.974539332999996
8,Noddy Sp. (B),B8,-16.606103992500000,145.974542337000003
9,Noddy Sp. (B),B9,-16.606106186800002,145.974544248999990
10,Noddy Sp. (B),B10,-16.606104080300000,145.974546798000006
11,Noddy Sp. (B),B11,-16.606101622699999,145.974549983999992
12,Noddy Sp. (B),B12,-16.606091923899999,145.974564366000010
13,Noddy Sp. (B),B13,-16.606096575799999,145.974564412000007
14,Noddy Sp. (B),B14,-16.606097278000000,145.974561999000002
15,Noddy Sp. (B),B15,-16.606099735600001,145.974564638999993
16,Noddy Sp. (B),B16,-16.606104431399999,145.974563045999986
17,Noddy Sp. (B),B17,-16.606099472299999,145.974560907000011
18,Noddy Sp. (B),B18,-16.606099340600000,145.974568053000013
19,Noddy Sp. (B),B19,-16.606101403200000,145.974572649999999
20,Noddy Sp. (B),B20,-16.606098462900000,145.974570919999991
21,Noddy Sp. (B),B21,-16.606096488100000,145.974568871999992
22,Noddy Sp. (B),B22,-16.606093547699999,145.974567416000014
23,Noddy Sp. (B),B23,-16.606092889399999,145.974571375000011
24,Noddy Sp. (B),B24,-16.606093723299999,145.974569464000012
25,Noddy Sp. (B),B25,-16.606093328299998,145.974573104999990
26,Noddy Sp. (B),B26,-16.606094995900001,145.974574106000006
27,Noddy Sp. (B),B27,-16.606096751399999,145.974574834000009
28,Noddy Sp. (B),B28,-16.606095215400000,145.974567188000009
29,Noddy Sp. (B),B29,-16.606092494500000,145.974575836000014
30,Noddy Sp. (B),B30,-16.606091880099999,145.974578065999992
31,Noddy Sp. (B),B31,-16.606090387900000,145.974579795000011
