OID_,LAYER,LAT,LON
0,Onychoprion,-16.6067819164,145.973661771
1,Onychoprion,-16.6067808193,145.973660671
2,Onychoprion,-16.6067832696,145.973663952
3,Onychoprion,-16.6067855736,145.973661923
4,Onychoprion,-16.6067854273,145.973657523
5,Onychoprion,-16.6067860308,145.973666322
6,Onychoprion,-16.6067897977,145.973664976
7,Onychoprion,-16.6067920103,145.973660917
8,Onychoprion,-16.6067955943,145.973661733
9,Onychoprion,-16.6067974778,145.973661771
10,Onychoprion,-16.6067994161,145.973664521
11,Onychoprion,-16.606796728,145.973667555
12,Onychoprion,-16.606795576,145.973667517
13,Onychoprion,-16.6067938754,145.973670229
14,Onychoprion,-16.6067944606,145.973671803
15,Onychoprion,-16.6067975692,145.97367057
16,Onychoprion,-16.6067946252,145.973676089
17,Onychoprion,-16.6067892125,145.973677303
18,Onychoprion,-16.6067883348,145.973669053
19,Onychoprion,-16.6067848239,145.973670096
20,Onychoprion,-16.6067805267,145.973668446
21,Onychoprion,-16.6067798684,145.97366471
22,Onychoprion,-16.6067791736,145.973670969
23,Onychoprion,-16.6067823736,145.973672808
24,Onychoprion,-16.6067850433,145.97367442
25,Onychoprion,-16.6067779484,145.973673036
26,Onychoprion,-16.6067934,145.973657162
27,Onychoprion,-16.6067969109,145.973656176
28,Onychoprion,-16.6067943692,145.973652687
29,Onychoprion,-16.6067916628,145.973655038
30,Onychoprion,-16.6067898343,145.973656119
31,Onychoprion,-16.606791224,145.973651815
32,Onychoprion,-16.6067869999,145.973653995
33,Onychoprion,-16.6067899805,145.97365134
34,Onychoprion,-16.606784257,145.973652573
35,Onychoprion,-16.606781569,145.973656537
36,Onychoprion,-16.6067780033,145.97365519
37,Onychoprion,-16.6067790821,145.973652175
38,Onychoprion,-16.6067779442,145.973661833
39,Onychoprion,-16.6067742322,145.973658804
40,Onychoprion,-16.6067776421,145.973662565
41,Onychoprion,-16.60677593,145.973665698
42,Onychoprion,-16.6067708511,145.973662012
43,Onychoprion,-16.6067731531,145.973667623
44,Onychoprion,-16.6067729805,145.973669533
45,Onychoprion,-16.6067758868,145.973670548
46,Onychoprion,-16.6067720741,145.97367304
47,Onychoprion,-16.6067712396,145.973677382
48,Onychoprion,-16.6067749948,145.973676904
49,Onychoprion,-16.6067776709,145.973678471
50,Onychoprion,-16.6067750379,145.973680366
51,Onychoprion,-16.6067860014,145.973681142
52,Onychoprion,-16.6067844619,145.973683873
53,Onychoprion,-16.6067864762,145.973677994
54,Onychoprion,-16.6067683908,145.973660013
55,Onychoprion,-16.6067669377,145.973661222
56,Onychoprion,-16.606768362,145.973664654
57,Onychoprion,-16.6067667218,145.973670652
58,Onychoprion,-16.6067649809,145.973673696
59,Onychoprion,-16.6067686066,145.97367389
60,Onychoprion,-16.6067625638,145.973665415
61,Onychoprion,-16.6067602474,145.973668369
62,Onychoprion,-16.6067631105,145.973654119
63,Onychoprion,-16.6067635853,145.973655701
64,Onychoprion,-16.6067602474,145.973673457
65,Onychoprion,-16.6067609524,145.973676292
66,Onychoprion,-16.6067591107,145.973678516
67,Onychoprion,-16.6067563465,145.973668257
68,Onychoprion,-16.606756788,145.973675247
69,Onychoprion,-16.6067535576,145.973674475
70,Onychoprion,-16.6067569972,145.973686237
71,Onychoprion,-16.6067606459,145.973683297
72,Onychoprion,-16.6067609248,145.97368766
73,Onychoprion,-16.6067650151,145.973681754
74,Onychoprion,-16.6067695237,145.973681947
75,Onychoprion,-16.6067684314,145.973686045
76,Onychoprion,-16.6067717781,145.97368549
77,Onychoprion,-16.6067643179,145.973685105
78,Onychoprion,-16.6067642947,145.973688624
79,Onychoprion,-16.6067670603,145.973691299
80,Onychoprion,-16.6067710576,145.973689732
81,Onychoprion,-16.6067600184,145.973692239
82,Onychoprion,-16.6067637369,145.973692287
83,Noddy species,-16.6067623425,145.973659893
84,Noddy species,-16.6067576712,145.973661918
85,Noddy species,-16.6067534879,145.973661508
86,Noddy species,-16.6067499786,145.973662159
87,Noddy species,-16.6067484912,145.973665919
88,Noddy species,-16.6067514428,145.973677946
89,Noddy species,-16.606755626,145.97367973
90,Noddy species,-16.6067542084,145.973683779
91,Noddy species,-16.6067611572,145.973679826
92,Noddy species,-16.6067662004,145.973678308
93,Noddy species,-16.606765387,145.973677633
94,Noddy species,-16.6067800748,145.973675994
95,Noddy species,-16.6067798192,145.973681971
96,Noddy species,-16.6067810509,145.973680188
97,Noddy species,-16.6067822827,145.973680381
98,Noddy species,-16.6067826545,145.973677199
99,Noddy species,-16.6067835144,145.973677078
100,Noddy species,-16.6067891153,145.973673174
101,Noddy species,-16.6067899055,145.97367139
102,Noddy species,-16.6067876047,145.973659532
103,Noddy species,-16.6067930662,145.97366534
104,Noddy species,-16.6067926014,145.973667028
105,Noddy species,-16.606768873,145.973654084
106,Noddy species,-16.6067722893,145.973653892
107,Noddy species,-16.6067745669,145.973649264
108,Noddy species,-16.6067786804,145.973648444
109,Noddy species,-16.6067749387,145.973646613
110,Noddy species,-16.6067765423,145.973641599
111,Noddy species,-16.6067802143,145.973642298
112,Noddy species,-16.6067791685,145.973641045
113,Noddy species,-16.6067713365,145.973644467
114,Noddy species,-16.6067704301,145.973648348
115,Noddy species,-16.6067698491,145.973650132
116,Noddy species,-16.6067644806,145.973648083
117,Noddy species,-16.6067627143,145.973649071
118,Noddy species,-16.6067594839,145.973649577
119,Noddy species,-16.6067568113,145.973655024
120,Noddy species,-16.6067628538,145.97364319
121,Noddy species,-16.6067625749,145.973641816
122,Noddy species,-16.606767037,145.973643889
123,Noddy species,-16.6067662236,145.973642828
124,Noddy species,-16.6067638299,145.973640225
125,Noddy species,-16.6067590191,145.973641069
126,Noddy species,-16.6067612734,145.973637429
127,Noddy species,-16.6067596001,145.973637116
128,Noddy species,-16.6067645503,145.973636152
129,Noddy species,-16.6067638531,145.973635477
130,Noddy species,-16.6067722429,145.973641141
131,Noddy species,-16.6067694308,145.973640539
132,Noddy species,-16.6067734049,145.973638707
133,Noddy species,-16.6067776811,145.973637116
134,Noddy species,-16.6067811904,145.973637887
135,Noddy species,-16.6067824454,145.973636755
136,Noddy species,-16.6067711506,145.973635043
137,Noddy species,-16.6067727774,145.973633139
138,Noddy species,-16.6067726844,145.973633886
139,Noddy species,-16.6067788663,145.973633091
140,Noddy species,-16.6067809812,145.973631741
141,Noddy species,-16.606779215,145.973630705
142,Noddy species,-16.6067775184,145.973629548
143,Noddy species,-16.6067732422,145.973629331
144,Noddy species,-16.6067700583,145.973631548
145,Noddy species,-16.6067698956,145.973630367
146,Noddy species,-16.6067696167,145.973627596
147,Noddy species,-16.60676878,145.973625836
148,Noddy species,-16.606765875,145.973631476
149,Noddy species,-16.6067643179,145.973626921
150,Noddy species,-16.6067633651,145.973625667
151,Noddy species,-16.6067722429,145.973622799
152,Noddy species,-16.606759205,145.973632344
153,Noddy species,-16.6067527442,145.973636996
154,Noddy species,-16.6067536971,145.97363579
155,Noddy species,-16.6067518611,145.973646661
156,Noddy species,-16.6067491885,145.973652229
157,Noddy species,-16.6067501646,145.973640683
158,Noddy species,-16.6067507223,145.97363432
159,Noddy species,-16.6067526977,145.973631621
160,Noddy species,-16.6067552542,145.973629234
161,Noddy species,-16.6067553936,145.973626149
162,Noddy species,-16.6067589959,145.973627933
163,Noddy species,-16.6067511871,145.973628294
164,Noddy species,-16.6067471898,145.973626607
165,Noddy species,-16.6067489561,145.973623956
166,Noddy species,-16.6067526048,145.973622004
167,Noddy species,-16.6067523491,145.97362574
168,Noddy species,-16.6067570669,145.973621666
169,Noddy species,-16.6067584381,145.973618292
170,Noddy species,-16.6067635975,145.973621377
171,Noddy species,-16.6067523259,145.973620654
172,Noddy species,-16.6067484912,145.973620075
173,Noddy species,-16.6067489328,145.973618653
174,Noddy species,-16.6067491187,145.973616846
175,Noddy species,-16.6067510709,145.973618003
176,Noddy species,-16.6067546499,145.973615954
177,Noddy species,-16.6067556725,145.973615134
178,Noddy species,-16.6067515357,145.973612845
179,Noddy species,-16.6067526977,145.973612579
180,Noddy species,-16.6067575782,145.973612314
181,Noddy species,-16.6067600184,145.973614966
182,Noddy species,-16.606761134,145.973619015
183,Noddy species,-16.6067609713,145.973617304
184,Noddy species,-16.6067645503,145.97361834
185,Noddy species,-16.6067645968,145.973615689
186,Noddy species,-16.6067633186,145.973615231
187,Noddy species,-16.6067668976,145.973616291
188,Noddy species,-16.6067675251,145.973619352
189,Noddy species,-16.6067669905,145.973622076
190,Noddy species,-16.6067700815,145.973621739
191,Noddy species,-16.6067725217,145.973616894
192,Noddy species,-16.6067698491,145.973614821
193,Noddy species,-16.6067671532,145.973612579
194,Noddy species,-16.6067672927,145.973611374
195,Noddy species,-16.6067454932,145.973610699
196,Noddy species,-16.6067431227,145.973608795
197,Noddy species,-16.606743634,145.973616701
198,Noddy species,-16.606744796,145.973619497
199,Noddy species,-16.6067439826,145.973623643
200,Noddy species,-16.6067428903,145.973627596
201,Noddy species,-16.6067435643,145.973633284
202,Noddy species,-16.6067409846,145.973622172
203,Noddy species,-16.6067385444,145.973624968
204,Noddy species,-16.606737638,145.97362639
205,Noddy species,-16.6067342914,145.973627258
206,Noddy species,-16.6067332688,145.973627523
207,Noddy species,-16.6067322695,145.973633669
208,Noddy species,-16.6067369176,145.973631934
209,Noddy species,-16.6067396832,145.973634585
210,Noddy species,-16.6067398226,145.973637068
211,Noddy species,-16.6067380796,145.973637261
212,Noddy species,-16.6067339196,145.973638008
213,Noddy species,-16.6067344309,145.973634296
214,Noddy species,-16.6067309216,145.973633477
215,Noddy species,-16.6067301314,145.97363755
216,Noddy species,-16.6067328273,145.973642105
217,Noddy species,-16.6067375218,145.973641575
218,Noddy species,-16.6067368478,145.973642467
219,Noddy species,-16.6067409614,145.973641382
220,Noddy species,-16.6067429368,145.973640587
221,Noddy species,-16.6067460975,145.973640997
222,Noddy species,-16.6067454468,145.973644564
223,Noddy species,-16.6067421699,145.973648468
224,Noddy species,-16.6067388233,145.973652108
225,Noddy species,-16.6067376148,145.973647191
226,Noddy species,-16.6067313166,145.973652879
227,Noddy species,-16.6067288997,145.973650927
228,Noddy species,-16.6067306659,145.973649866
229,Noddy species,-16.6067291088,145.973645118
230,Noddy species,-16.6067291321,145.973643407
231,Noddy species,-16.606727575,145.973639093
232,Noddy species,-16.606725646,145.973643961
233,Noddy species,-16.6067246234,145.973643648
234,Noddy species,-16.6067277609,145.973634055
235,Noddy species,-16.6067267383,145.973632609
236,Noddy species,-16.6067287602,145.973627354
237,Noddy species,-16.6067298525,145.973626414
238,Noddy species,-16.6067289926,145.973622438
239,Noddy species,-16.6067269242,145.973621955
240,Noddy species,-16.6067306892,145.973618509
241,Noddy species,-16.6067333386,145.973620413
242,Noddy species,-16.6067341752,145.973622028
243,Noddy species,-16.6067347097,145.97361552
244,Noddy species,-16.6067336407,145.973614797
245,Noddy species,-16.6067382887,145.973614267
246,Noddy species,-16.6067397064,145.973614146
247,Noddy species,-16.6067397296,145.973618557
248,Noddy species,-16.6067408219,145.973617906
249,Noddy species,-16.6067365457,145.973610434
250,Noddy species,-16.6067362436,145.973608916
251,Noddy species,-16.6067467629,145.973658093
252,Noddy species,-16.6067432341,145.97365603
253,Noddy species,-16.606744961,145.973659923
254,Noddy species,-16.6067438348,145.973660507
255,Noddy species,-16.6067404186,145.973658988
256,Noddy species,-16.6067375656,145.97365747
257,Noddy species,-16.6067363643,145.973657976
258,Noddy species,-16.6067259658,145.973655368
259,Noddy species,-16.6067242765,145.97366257
260,Noddy species,-16.6067311088,145.973664283
261,Noddy species,-16.6067216863,145.973646725
262,Noddy species,-16.6067227374,145.973637965
263,Noddy species,-16.6067216487,145.973636875
264,Noddy species,-16.6067230001,145.973632748
265,Noddy species,-16.6067306583,145.973665685
266,Noddy species,-16.6067258156,145.973670006
267,Noddy species,-16.6067241263,145.97366697
268,Noddy species,-16.6067375656,145.973663777
269,Noddy species,-16.6067342996,145.973677559
270,Noddy species,-16.6067338492,145.973681258
271,Noddy species,-16.6067308835,145.973681453
272,Noddy species,-16.6067315592,145.973679117
273,Noddy species,-16.6067307709,145.973673939
274,Noddy species,-16.6067379035,145.973674795
275,Noddy species,-16.606737941,145.973676547
276,Noddy species,-16.6067435345,145.973677404
277,Noddy species,-16.6067428212,145.973672342
278,Noddy species,-16.6067444729,145.973670513
279,Noddy species,-16.606743084,145.973664712
280,Noddy species,-16.6067419202,145.973667437
281,Noddy species,-16.6067404562,145.973670474
282,Noddy species,-16.6067412445,145.973666308
283,Noddy species,-16.6067393514,145.973663132
284,Noddy species,-16.6067425249,145.973601692
285,Noddy species,-16.6067297195,145.973609983
286,Noddy species,-16.606711661,145.973619707
287,Noddy species,-16.6067079446,145.973629752
288,Noddy species,-16.6067241618,145.973627611
289,Noddy species,-16.6067242369,145.973623756
290,Noddy species,-16.6067203703,145.973627182
291,Noddy species,-16.606714021,145.973606665
292,Noddy species,-16.6067080963,145.973660329
293,Noddy species,-16.6066693176,145.973664572
294,Noddy species,-16.6066583661,145.973655454
295,Onychoprion,-16.606781792,145.973650291
296,Onychoprion,-16.6067837252,145.973647819
297,Onychoprion,-16.6067868219,145.973648559
298,Onychoprion,-16.6067850014,145.973645211
299,Onychoprion,-16.6067882296,145.973645016
300,Onychoprion,-16.6067912137,145.973646398
301,Onychoprion,-16.6067932595,145.973649493
302,Onychoprion,-16.6067935222,145.973646281
303,Onychoprion,-16.6067947046,145.973645172
304,Onychoprion,-16.6067925088,145.973643498
305,Onychoprion,-16.6067941041,145.973641551
306,Onychoprion,-16.6067967879,145.973642739
307,Onychoprion,-16.6067964313,145.973639741
308,Onychoprion,-16.6067980267,145.973637503
309,Onychoprion,-16.6067933533,145.973638164
