OID_,LAYER,NAME,LAT,LON
0,Brown Booby,A77,-23.8527906469,152.379724169
1,Brown Booby,A78,-23.8528118777,152.379723953
2,Brown Booby,A79,-23.8528276805,152.37970583
3,Brown Booby,A80,-23.8528376,152.37969623
4,Brown Booby,A81,-23.8528207779,152.379638337
5,Brown Booby,A82,-23.8527711658,152.379700493
6,Brown Booby,A83,-23.8528249201,152.379677018
7,Brown Booby,A84,-23.8528213133,152.379677385
8,Brown Booby,A85,-23.8527569589,152.379622639
9,Brown Booby,A86,-23.8527667878,152.37962876
10,Brown Booby,A87,-23.8527695105,152.379623085
11,Brown Booby,A88,-23.8527925408,152.379609216
12,Brown Booby,A89,-23.8527896496,152.379586668
13,Brown Booby,A90,-23.8528170576,152.379506057
14,Brown Booby,A91,-23.8528435726,152.379479628
15,Brown Booby,A92,-23.85279662,152.379489687
16,Brown Booby,A93,-23.852805605,152.379489036
17,Brown Booby,A94,-23.8528336435,152.379450274
18,Brown Booby,A95,-23.8528312682,152.379464675
19,Onychoprion,D2,-23.8528460656,152.379148925
20,Brown Booby,A96,-23.8527200639,152.379986763
21,Brown Booby,A97,-23.8527253988,152.38002912
22,Brown Booby,A98,-23.8527037335,152.380019223
23,Brown Booby,A99,-23.8527183567,152.379973618
24,Brown Booby,A100,-23.8526514909,152.379957186
25,Brown Booby,A101,-23.8526482842,152.379983171
26,Brown Booby,A102,-23.8526540557,152.379975951
27,Brown Booby,A103,-23.8526534276,152.379983457
28,Brown Booby,A104,-23.8526531887,152.379995739
29,Brown Booby,A105,-23.8526595709,152.379985535
30,Brown Booby,A106,-23.8526478886,152.380012851
31,Brown Booby,A107,-23.852651874,152.380003203
32,Brown Booby,A108,-23.8526546494,152.380012151
33,Brown Booby,A109,-23.8526598654,152.380021012
34,Brown Booby,A110,-23.8526599473,152.380026575
35,Brown Booby,A111,-23.8526650716,152.380010867
36,Brown Booby,A112,-23.8526653114,152.379981554
37,Brown Booby,A113,-23.8526892889,152.380020776
38,Brown Booby,A114,-23.8526776325,152.380014407
39,Brown Booby,A115,-23.8526837173,152.380012189
40,Brown Booby,A116,-23.8526651476,152.380039688
41,Brown Booby,A117,-23.8526627329,152.380045336
42,Brown Booby,A118,-23.8526605093,152.38004067
43,Brown Booby,A119,-23.8528342128,152.38009731
44,Brown Booby,A120,-23.8528488696,152.380117203
45,Onychoprion,D3,-23.8528082026,152.380151464
46,Brown Booby,A121,-23.8528056789,152.380046755
47,Brown Booby,A122,-23.8528166853,152.380007546
48,Brown Booby,A123,-23.8528104331,152.379957555
49,Brown Booby,A124,-23.8528128779,152.379958233
50,Brown Booby,A125,-23.8528262056,152.379976208
51,Brown Booby,A126,-23.852806275,152.380010498
52,Brown Booby,A127,-23.8527556548,152.380009881
53,Brown Booby,A128,-23.8527546271,152.379975639
54,Brown Booby,A129,-23.8527771989,152.379962315
55,Brown Booby,A130,-23.8527859953,152.379925005
56,Brown Booby,A131,-23.8528147578,152.379927507
57,Brown Booby,A132,-23.8528428884,152.379948279
58,Brown Booby,A133,-23.8528421484,152.379800444
59,Brown Booby,A134,-23.8528279694,152.37979028
60,Brown Booby,A135,-23.8527945207,152.379863826
61,Brown Booby,A136,-23.8528043425,152.379828916
62,Brown Booby,A137,-23.8529596201,152.380296953
63,Brown Booby,A138,-23.8529584523,152.380209546
64,Brown Booby,A139,-23.8529239145,152.380212677
