OID_,LAYER,NAME,LAT,LON
0,Brown Noddy,B1,-24.1111635037,152.71587487
1,Brown Noddy,B2,-24.1111516871,152.716050481
2,Brown Noddy,B3,-24.1111647772,152.716042173
3,Brown Noddy,B4,-24.1111815296,152.716606879
4,Onychoprion,D1,-24.1112060024,152.716577612
5,Onychoprion,D2,-24.1112317474,152.715927696
6,Brown Noddy,B5,-24.1112228689,152.715945058
7,Brown Noddy,B6,-24.1112426066,152.716037313
8,Onychoprion,D3,-24.1112322483,152.716248939
9,Crested Tern Other,A1,-24.1112442687,152.716485099
10,Brown Noddy,B7,-24.1112532494,152.71651792
11,Brown Noddy,B8,-24.1112339558,152.716581661
12,Onychoprion,D4,-24.1112136377,152.71688952
13,Brown Noddy,B9,-24.1112395902,152.716985009
14,Brown Noddy,B10,-24.1112355609,152.717126763
15,Brown Noddy,B11,-24.1112431873,152.717111509
16,Brown Noddy,B12,-24.111239431,152.717106983
17,Brown Noddy,B13,-24.1112327152,152.717105743
18,Brown Noddy,B14,-24.1112384066,152.717097558
19,Brown Noddy,B15,-24.1112417645,152.717101278
20,Brown Noddy,B16,-24.1112411384,152.71709514
21,Brown Noddy,B17,-24.1112468867,152.717097372
22,Brown Noddy,B18,-24.1112472282,152.717095698
23,Brown Noddy,B19,-24.1112456346,152.7170939
24,Brown Noddy,B20,-24.1112462037,152.717111881
25,Brown Noddy,B21,-24.1112467159,152.717108409
26,Brown Noddy,B22,-24.1112464883,152.717105123
27,Brown Noddy,B23,-24.111248651,152.717102456
28,Brown Noddy,B24,-24.111222599,152.717119175
29,Brown Noddy,B25,-24.1112259257,152.717128206
30,Brown Noddy,B26,-24.1112253436,152.717130834
31,Brown Noddy,B27,-24.1112527615,152.717108785
32,Brown Noddy,B28,-24.1112562824,152.717098214
33,Brown Noddy,B29,-24.1112645715,152.717096432
34,Brown Noddy,B30,-24.1112667339,152.717094348
35,Brown Noddy,B31,-24.1112222045,152.717147167
36,Brown Noddy,B32,-24.1112434901,152.717167318
37,Brown Noddy,B33,-24.1112434332,152.717166016
38,Brown Noddy,B34,-24.1112173099,152.717173829
39,Brown Noddy,B35,-24.1113064364,152.717140098
40,Brown Noddy,B36,-24.1113050135,152.717128193
41,Brown Noddy,B37,-24.1112964196,152.717128193
42,Brown Noddy,B38,-24.1112793456,152.717111079
43,Brown Noddy,B39,-24.1112808253,152.717112629
44,Crested Tern Young,E1,-24.111275265,152.716592755
45,Crested Tern Young,E2,-24.1113078134,152.716565877
46,Brown Noddy,B40,-24.1112962745,152.71646496
47,Brown Noddy,B41,-24.1112744711,152.71592463
48,Brown Noddy,B42,-24.1112755634,152.715926549
49,Brown Noddy,B43,-24.1113137788,152.716122193
50,Brown Noddy,B44,-24.111315262,152.716121432
51,Crested Tern Other,A2,-24.1113250124,152.716572651
52,Brown Noddy,B45,-24.1113134298,152.716719279
53,Onychoprion,D5,-24.1113117502,152.716917285
54,Onychoprion,D6,-24.1113244453,152.716914576
55,Onychoprion,D7,-24.1113247288,152.71693316
56,Onychoprion,D8,-24.1113194283,152.716940313
57,Onychoprion,D9,-24.111311074,152.716916976
58,Onychoprion,D10,-24.1113232892,152.716970352
59,Brown Noddy,B46,-24.1113253614,152.717039721
60,Brown Noddy,B47,-24.11132739,152.717091171
61,Brown Noddy,B48,-24.1113117938,152.717121091
62,Brown Noddy,B49,-24.1113230493,152.717131595
63,Brown Noddy,B50,-24.1113284152,152.717137536
64,Brown Noddy,B51,-24.1113354172,152.717231572
65,Brown Noddy,B52,-24.1113281317,152.717129503
66,Brown Noddy,B53,-24.1113317526,152.717031831
67,Onychoprion,D11,-24.111328786,152.716909514
68,Brown Noddy,B54,-24.1113420047,152.71682553
69,Onychoprion,D12,-24.1113425936,152.716560697
70,Brown Noddy,B55,-24.1113489194,152.716134598
71,Brown Noddy,B56,-24.1113491593,152.716135525
72,Brown Noddy,B57,-24.1113456474,152.716155059
73,Brown Noddy,B58,-24.1113569683,152.71627008
74,Brown Noddy,B59,-24.1113555505,152.717145093
75,Brown Noddy,B60,-24.1113523004,152.717153862
76,Brown Noddy,B61,-24.1113582989,152.717154599
77,Brown Noddy,B62,-24.1113518423,152.717159779
78,Brown Noddy,B63,-24.1113552887,152.717165816
79,Brown Noddy,B64,-24.1113584952,152.717326845
80,Brown Noddy,B65,-24.1113522568,152.717325086
81,Brown Noddy,B66,-24.1113666315,152.717269596
82,Brown Noddy,B67,-24.111366457,152.717176248
83,Brown Noddy,B68,-24.1113662606,152.71672541
84,Brown Noddy,B69,-24.1113644502,152.716046907
85,Brown Noddy,B70,-24.1113766218,152.716038042
86,Brown Noddy,B71,-24.111366566,152.715958716
87,Brown Noddy,B72,-24.1113892515,152.715949662
88,Onychoprion,D13,-24.1113837546,152.715958075
89,Brown Noddy,B73,-24.1113796102,152.716033551
90,Brown Noddy,B74,-24.1113908656,152.716128562
91,Crested Tern Other,A3,-24.1113935268,152.71664442
92,Brown Noddy,B75,-24.1113902112,152.716825506
93,Brown Noddy,B76,-24.111389775,152.716827526
94,Brown Noddy,B77,-24.1113971696,152.717202793
95,Brown Noddy,B78,-24.1114045641,152.717203744
96,Brown Noddy,B79,-24.1114044115,152.717201914
97,Brown Noddy,B80,-24.1114004197,152.717201082
98,Brown Noddy,B81,-24.1114040624,152.717212038
99,Brown Noddy,B82,-24.1114038661,152.717180621
100,Brown Noddy,B83,-24.1114009432,152.717165459
101,Brown Noddy,B84,-24.1113990018,152.71710032
102,Brown Noddy,B85,-24.1113979548,152.717095187
103,Onychoprion,D14,-24.1114032336,152.716611387
104,Brown Noddy,B86,-24.111400267,152.716464451
105,Brown Noddy,B87,-24.1114005506,152.716005342
106,Brown Noddy,B88,-24.1113994163,152.715996644
107,Brown Noddy,B89,-24.1113949665,152.715925065
108,Brown Noddy,B90,-24.1114150078,152.716014249
109,Onychoprion,D15,-24.1114178653,152.716166676
110,Brown Noddy,B91,-24.1114134155,152.716196738
111,Onychoprion,D16,-24.1114251508,152.716243839
112,Onychoprion,D17,-24.1114142662,152.716380605
113,Crested Tern Other,A4,-24.1114143098,152.716777711
114,Brown Noddy,B92,-24.1114203149,152.717121817
115,Brown Noddy,B93,-24.1114278403,152.717147269
