LAYER,NAME,LAT,LON
Brown Booby,A1,-16.60658053,145.973702
Brown Booby,A2,-16.60646039,145.9739461
Brown Booby,A3,-16.60645987,145.9739425
Brown Booby,A4,-16.60646795,145.9739797
Brown Booby,A5,-16.60646548,145.9739786
Brown Booby,A6,-16.60647981,145.9739408
Brown Booby,A7,-16.60636636,145.9744538
Brown Booby,A8,-16.60633403,145.9744602
Brown Booby,A9,-16.60633541,145.9744605
Brown Booby,A10,-16.6064136,145.9747645
Brown Booby,A12,-16.60625185,145.9747462
Brown Booby,A13,-16.60625017,145.974756
Brown Booby,A14,-16.60625356,145.9747565
Brown Booby,A15,-16.606257,145.9747568
Brown Booby,A18,-16.60625343,145.9747747
Brown Booby,A17,-16.60627085,145.9747576
Brown Booby,A16,-16.60627355,145.9747639
Brown Booby,A19,-16.6065086,145.9738092
Brown Booby,A20,-16.60651822,145.9738294
Brown Booby,A21,-16.60651878,145.9738283
Brown Booby,A22,-16.60623984,145.974691
Brown Booby,A23,-16.6062417,145.9746951
Brown Booby,A24,-16.60624094,145.9746926
Brown Booby,A25,-16.60624542,145.974682
Brown Booby,A26,-16.60624266,145.9746832
Brown Booby,A27,-16.60624839,145.9746644
Brown Booby,A28,-16.60625027,145.9746642
Brown Booby,A29,-16.60626519,145.9746691
Brown Booby,A30,-16.60626723,145.9746866
Brown Booby,A31,-16.60628349,145.9746689
Brown Booby,A11,-16.60627923,145.9746723
Brown Booby,A32,-16.60654626,145.9737127
Brown Booby,A33,-16.6064793,145.9743898
Brown Booby,A34,-16.60619676,145.9749775
Brown Booby,A35,-16.6068011,145.9731355
Brown Booby,A36,-16.60668148,145.9734425
Brown Booby,A37,-16.60668047,145.9734435
Brown Booby,A38,-16.60667148,145.9734785
Brown Booby,A39,-16.60677914,145.9734443
Brown Booby,A40,-16.60678149,145.973444
Brown Booby,A41,-16.60672825,145.9735141
Brown Booby,A42,-16.60660326,145.9736267
Brown Booby,A43,-16.60651505,145.9736969
Brown Booby,A44,-16.60651661,145.9736978
Brown Booby,A45,-16.60651499,145.9736984
Brown Booby,A46,-16.60654339,145.9737217
Brown Booby,A47,-16.60654281,145.9737197
Brown Booby,A48,-16.60660326,145.9737484
Brown Booby,A49,-16.6066055,145.9737473
Brown Booby,A50,-16.60658842,145.9737634
Brown Booby,A51,-16.60663879,145.9737654
Brown Booby,A52,-16.60664141,145.9737662
Brown Booby,A53,-16.60661469,145.9738181
Brown Booby,A54,-16.60662174,145.9736749
Brown Booby,A55,-16.60669061,145.9736853
Brown Booby,A56,-16.60669191,145.9736864
Brown Booby,A57,-16.60665376,145.9735582
Brown Booby,A58,-16.6066522,145.9735583
Brown Booby,A59,-16.60667083,145.9735625
Brown Booby,A60,-16.60669707,145.9735848
Brown Booby,A61,-16.60642777,145.9737663
Brown Booby,A62,-16.60642687,145.973767
Brown Booby,A63,-16.60650975,145.9738706
Brown Booby,A64,-16.60650847,145.9738704
Brown Booby,A65,-16.60649119,145.9738723
Brown Booby,A66,-16.60649184,145.9738738
Brown Booby,A67,-16.6064741,145.9738672
Brown Booby,A68,-16.60648439,145.9739086
Brown Booby,A69,-16.60648325,145.9739219
Brown Booby,A70,-16.60648443,145.9739207
Brown Booby,A71,-16.6065372,145.9738996
Brown Booby,A72,-16.60653659,145.9739348
Brown Booby,A73,-16.606535,145.9739372
Brown Booby,A74,-16.6065154,145.9739602
Brown Booby,A75,-16.60651332,145.9739594
Brown Booby,A76,-16.60654295,145.9739628
Brown Booby,A77,-16.60644924,145.9739549
Brown Booby,A78,-16.60644955,145.9739537
Brown Booby,A79,-16.6064589,145.9740375
Brown Booby,A80,-16.60646021,145.9740395
Brown Booby,A81,-16.60648566,145.9740503
Brown Booby,A82,-16.60649443,145.9740683
Brown Booby,A83,-16.6064936,145.9740658
Brown Booby,A84,-16.60647032,145.9740736
Brown Booby,A85,-16.60643615,145.9740884
Brown Booby,A86,-16.60644653,145.9741367
Brown Booby,A87,-16.60674747,145.9737619
Brown Booby,A88,-16.60651656,145.9740197
Brown Booby,A89,-16.60651148,145.9740285
Brown Booby,A90,-16.60651992,145.9740345
Brown Booby,A91,-16.60651815,145.9740353
Brown Booby,A91,-16.60651952,145.9740086
Brown Booby,A92,-16.60652029,145.9740068
Brown Booby,A94,-16.60653171,145.974023
Brown Booby,A95,-16.60654999,145.9739018
Brown Booby,A96,-16.60654828,145.9740511
Brown Booby,A98,-16.60655629,145.9740055
Brown Booby,A98,-16.60658239,145.9739915
Brown Booby,A99,-16.60659594,145.9740711
Brown Booby,A100,-16.60653335,145.9740757
Brown Booby,A101,-16.60652103,145.9741178
Brown Booby,A102,-16.6064662,145.9741494
Brown Booby,A103,-16.60648136,145.9741424
Brown Booby,A104,-16.60648166,145.9741411
Brown Booby,A104,-16.60648683,145.9741323
Brown Booby,A106,-16.60639124,145.9741887
Brown Booby,A244,-16.60636849,145.9742258
Brown Booby,A108,-16.60638603,145.9742328
Brown Booby,A109,-16.60638978,145.9742671
Brown Booby,A110,-16.60638147,145.9742954
Brown Booby,A111,-16.60636626,145.9743702
Brown Booby,A112,-16.60635205,145.9743726
Brown Booby,A113,-16.60635022,145.9743725
Brown Booby,A114,-16.60638011,145.9744136
Brown Booby,A115,-16.6063812,145.9744128
Brown Booby,A116,-16.60637391,145.9744159
Brown Booby,A117,-16.60643921,145.9743158
Brown Booby,A118,-16.60643157,145.9743156
Brown Booby,A119,-16.60642279,145.97434
Brown Booby,A120,-16.60642169,145.9743406
Brown Booby,A121,-16.60641538,145.9743229
Brown Booby,A122,-16.60641756,145.9743781
Brown Booby,A123,-16.60648688,145.9742502
Brown Booby,A124,-16.60648683,145.9742518
Brown Booby,A125,-16.60648405,145.9742877
Brown Booby,A126,-16.60648948,145.974299
Brown Booby,A127,-16.60646425,145.9741758
Brown Booby,A128,-16.60641884,145.9742198
Brown Booby,A129,-16.60641303,145.9742288
Brown Booby,A130,-16.60661537,145.9741007
Brown Booby,A131,-16.60655023,145.9741338
Brown Booby,A132,-16.60655069,145.9741318
Brown Booby,A133,-16.60656424,145.9741456
Brown Booby,A134,-16.60643007,145.9744823
