OID_,LAYER,NAME,LAT,LON
1,Brown Noddy,B1,-16.6061078566,145.974528293
2,Brown Noddy,B2,-16.6061037731,145.974533189
3,Brown Noddy,B3,-16.6061040364,145.974534964
4,Brown Noddy,B4,-16.6061052213,145.97453551
5,Brown Noddy,B5,-16.6061027198,145.974539288
6,Brown Noddy,B6,-16.6061011399,145.974539561
7,Brown Noddy,B7,-16.6061051335,145.974539333
8,Brown Noddy,B8,-16.6061039925,145.974542337
9,Brown Noddy,B9,-16.6061061868,145.974544249
10,Brown Noddy,B10,-16.6061040803,145.974546798
11,Brown Noddy,B11,-16.6061016227,145.974549984
12,Brown Noddy,B12,-16.6060919239,145.974564366
13,Brown Noddy,B13,-16.6060965758,145.974564412
14,Brown Noddy,B14,-16.606097278,145.974561999
15,Brown Noddy,B15,-16.6060997356,145.974564639
16,Brown Noddy,B16,-16.6061044314,145.974563046
17,Brown Noddy,B17,-16.6060994723,145.974560907
18,Brown Noddy,B18,-16.6060993406,145.974568053
19,Brown Noddy,B19,-16.6061014032,145.97457265
20,Brown Noddy,B20,-16.6060984629,145.97457092
21,Brown Noddy,B21,-16.6060964881,145.974568872
22,Brown Noddy,B22,-16.6060935477,145.974567416
23,Brown Noddy,B23,-16.6060928894,145.974571375
24,Brown Noddy,B24,-16.6060937233,145.974569464
25,Brown Noddy,B25,-16.6060933283,145.974573105
26,Brown Noddy,B26,-16.6060949959,145.974574106
27,Brown Noddy,B27,-16.6060967514,145.974574834
28,Brown Noddy,B28,-16.6060952154,145.974567188
29,Brown Noddy,B29,-16.6060924945,145.974575836
30,Brown Noddy,B30,-16.6060918801,145.974578066
31,Brown Noddy,B31,-16.6060903879,145.974579795
32,Brown Noddy,B32,-16.6060910462,145.974582026
33,Brown Noddy,B33,-16.606087667,145.97458239
34,Brown Noddy,B34,-16.6060864382,145.974585121
35,Brown Noddy,B35,-16.6060929772,145.974580342
36,Brown Noddy,B36,-16.6060928455,145.974583937
37,Brown Noddy,B37,-16.6060915729,145.974585394
38,Brown Noddy,B38,-16.606094601,145.974586759
39,Brown Noddy,B39,-16.6060963564,145.974584028
40,Brown Noddy,B40,-16.6060959175,145.974588534
41,Brown Noddy,B41,-16.6060915729,145.974587351
42,Brown Noddy,B42,-16.6060887203,145.974590582
43,Brown Noddy,B43,-16.606088852,145.974584711
44,Brown Noddy,B44,-16.606089203,145.974587715
45,Brown Noddy,B45,-16.6060907622,145.974594281
46,Brown Noddy,B46,-16.6060901917,145.974596873
47,Brown Noddy,B47,-16.6060931531,145.974596507
48,Brown Noddy,B48,-16.6060945387,145.974598874
49,Brown Noddy,B49,-16.6060913871,145.974591745
50,Brown Noddy,B50,-16.6060928814,145.974590336
51,Brown Noddy,B51,-16.6060921737,145.974601318
52,Brown Noddy,B52,-16.6060952972,145.974601549
53,Brown Noddy,B53,-16.6060912813,145.974603621
54,Brown Noddy,B54,-16.60609211,145.974605913
55,Brown Noddy,B55,-16.6060896238,145.974607309
56,Brown Noddy,B56,-16.6060882426,145.974610317
57,Brown Noddy,B57,-16.6060910396,145.974609494
58,Brown Noddy,B58,-16.6060939746,145.974608491
59,Brown Noddy,B59,-16.6060916266,145.974611714
60,Brown Noddy,B60,-16.6060884498,145.974611929
61,Brown Noddy,B61,-16.606089244,145.97461354
62,Brown Noddy,B62,-16.6060876211,145.974614507
63,Brown Noddy,B63,-16.606090418,145.974616083
64,Brown Noddy,B64,-16.6060926625,145.974613934
65,Brown Noddy,B65,-16.6060923172,145.974617229
66,Brown Noddy,B66,-16.6060917647,145.97461927
67,Brown Noddy,B67,-16.6060917302,145.974621884
68,Brown Noddy,B68,-16.6060884843,145.974620667
69,Brown Noddy,B69,-16.6060899346,145.974622529
70,Brown Noddy,B70,-16.6060881045,145.974623389
71,Brown Noddy,B71,-16.6060911777,145.97462654
72,Brown Noddy,B72,-16.6060888366,145.974627339
73,Brown Noddy,B73,-16.6060842994,145.974628353
74,Brown Noddy,B74,-16.6060848156,145.974630973
75,Brown Noddy,B75,-16.6060877498,145.974630213
76,Brown Noddy,B76,-16.6060897332,145.974629846
77,Brown Noddy,B77,-16.6060912546,145.974633791
78,Brown Noddy,B78,-16.6060872065,145.974633876
79,Brown Noddy,B79,-16.6060896788,145.974636158
80,Brown Noddy,B80,-16.6060879944,145.974637229
81,Brown Noddy,B81,-16.6060904667,145.974639962
82,Brown Noddy,B82,-16.6060917165,145.974641991
83,Brown Noddy,B83,-16.6060892441,145.974641878
84,Brown Noddy,B84,-16.6060879128,145.974643174
85,Brown Noddy,B85,-16.6060866902,145.974645175
86,Brown Noddy,B86,-16.606085196,145.974644019
87,Brown Noddy,B87,-16.6060822074,145.974640159
88,Brown Noddy,B88,-16.6060839462,145.974636609
89,Brown Noddy,B89,-16.6060869619,145.974637905
90,Brown Noddy,B90,-16.6060873423,145.974641004
91,Brown Noddy,B91,-16.6060852231,145.97463999
92,Brown Noddy,B92,-16.6060841635,145.974642244
93,Brown Noddy,B93,-16.6060822889,145.974646133
94,Brown Noddy,B94,-16.6060847884,145.974650444
95,Brown Noddy,B95,-16.6060826693,145.974651486
96,Brown Noddy,B96,-16.6060838919,145.974652585
97,Brown Noddy,B97,-16.6060841092,145.974654389
98,Brown Noddy,B98,-16.6060863099,145.974653881
99,Brown Noddy,B99,-16.6060818542,145.974656896
100,Brown Noddy,B100,-16.6060854405,145.974657685
101,Brown Noddy,B101,-16.606083756,145.974659291
102,Brown Noddy,B102,-16.6060835658,145.974661715
103,Brown Noddy,B103,-16.6060819357,145.974665519
104,Crested Tern Adult,FFS1,-16.6060790286,145.974658671
105,Crested Tern Adult,FFS2,-16.6060782951,145.97466518
106,Brown Noddy,B104,-16.6060751456,145.974666032
107,Brown Noddy,B105,-16.606081839,145.974668464
108,Brown Noddy,B106,-16.6060792952,145.974669683
109,Brown Noddy,B107,-16.606080364,145.974670947
110,Brown Noddy,B108,-16.606082288,145.974671014
111,Brown Noddy,B109,-16.6060810481,145.974673208
112,Brown Noddy,B110,-16.6060795731,145.974674827
113,Brown Noddy,B111,-16.6060763024,145.974674694
114,Brown Noddy,B112,-16.6060787607,145.974677709
115,Brown Noddy,B113,-16.6060805564,145.974677709
116,Brown Noddy,B114,-16.606077756,145.974681168
117,Brown Noddy,B115,-16.6060754687,145.974687442
118,Brown Noddy,B116,-16.6060779057,145.974683983
119,Brown Noddy,B117,-16.6060792738,145.97468436
120,Brown Noddy,B118,-16.6060781408,145.974686666
121,Brown Noddy,B119,-16.6060771361,145.974688816
122,Brown Noddy,B120,-16.6060750198,145.974691055
123,Brown Noddy,B121,-16.6060748274,145.974692896
124,Brown Noddy,B122,-16.6060780126,145.974690124
125,Brown Noddy,B123,-16.6060791669,145.974691964
126,Brown Noddy,B124,-16.606081326,145.974688816
127,Brown Noddy,B125,-16.606077414,145.974694603
128,Brown Noddy,B126,-16.6060798296,145.974695733
129,Brown Noddy,B127,-16.6060759817,145.974696421
130,Brown Noddy,B128,-16.6060737371,145.974698438
131,Brown Noddy,B129,-16.6060796158,145.974701653
132,Brown Noddy,B130,-16.606076281,145.974700655
133,Brown Noddy,B131,-16.606077756,145.974704202
134,Brown Noddy,B132,-16.6060756611,145.97470591
